code,desc,category,chapter
I10,Essential primary hypertension high blood pressure,Cardiovascular,IX (I00-I99)
I11.9,Hypertensive heart disease without heart failure,Cardiovascular,IX (I00-I99)
I20.9,Angina pectoris unspecified ischemic chest discomfort,Cardiovascular,IX (I00-I99)
I21.9,Acute myocardial infarction unspecified STEMI heart attack,Cardiovascular,IX (I00-I99)
I25.10,Atherosclerotic heart disease of native coronary artery CAD,Cardiovascular,IX (I00-I99)
I48.91,Unspecified atrial fibrillation AFib irregular heart rhythm,Cardiovascular,IX (I00-I99)
I50.9,Heart failure unspecified congestive cardiac failure CHF,Cardiovascular,IX (I00-I99)
I63.9,Cerebral infarction unspecified ischemic stroke CVA,Cardiovascular,IX (I00-I99)
E11.9,Type 2 diabetes mellitus without complications,Endocrine,IV (E00-E89)
E11.65,Type 2 diabetes mellitus with hyperglycemia high blood sugar,Endocrine,IV (E00-E89)
E11.40,Type 2 diabetes mellitus with diabetic neuropathy numbness,Endocrine,IV (E00-E89)
E10.9,Type 1 diabetes mellitus without complications juvenile diabetes,Endocrine,IV (E00-E89)
E03.9,Hypothyroidism unspecified underactive thyroid hormone deficiency,Endocrine,IV (E00-E89)
E05.90,Thyrotoxicosis unspecified hyperthyroidism overactive thyroid,Endocrine,IV (E00-E89)
E78.5,Hyperlipidemia unspecified high cholesterol dyslipidemia,Metabolic,IV (E00-E89)
E66.9,Obesity unspecified severe overweight high BMI,Metabolic,IV (E00-E89)
J45.909,Unspecified asthma uncomplicated wheezing shortness of breath dyspnea,Respiratory,X (J00-J99)
J45.901,Unspecified asthma with acute exacerbation severe attack,Respiratory,X (J00-J99)
J44.9,Chronic obstructive pulmonary disease unspecified COPD,Respiratory,X (J00-J99)
J18.9,Pneumonia unspecified organism lung consolidation chest infection,Respiratory,X (J00-J99)
J06.9,Acute upper respiratory infection unspecified cold viral URI,Respiratory,X (J00-J99)
J02.9,Acute pharyngitis unspecified sore throat throat infection,Respiratory,X (J00-J99)
J20.9,Acute bronchitis unspecified chest congestion productive phlegm,Respiratory,X (J00-J99)
K21.9,Gastro-esophageal reflux disease GERD acid reflux heartburn burning sensation retrosternal,Digestive,XI (K00-K95)
K29.70,Gastritis unspecified without bleeding stomach inflammation epigastric pain,Digestive,XI (K00-K95)
K25.9,Gastric ulcer unspecified stomach ulcer peptic ulcer disease PUD,Digestive,XI (K00-K95)
K58.9,Irritable bowel syndrome without diarrhea IBS abdominal cramps bloating,Digestive,XI (K00-K95)
K57.90,Diverticulosis of intestine unspecified bowel pouches,Digestive,XI (K00-K95)
K80.20,Calculus of gallbladder without cholecystitis gallstones biliary colic,Digestive,XI (K00-K95)
M54.50,Low back pain unspecified lumbago lumbar spine ache,Musculoskeletal,XIII (M00-M99)
M54.2,Cervicalgia neck pain stiffness cervical spine discomfort,Musculoskeletal,XIII (M00-M99)
M25.50,Pain in unspecified joint arthralgia joint soreness,Musculoskeletal,XIII (M00-M99)
M17.9,Osteoarthritis of knee unspecified wear and tear knee joint pain,Musculoskeletal,XIII (M00-M99)
M79.7,Fibromyalgia widespread musculoskeletal tenderness fatigue,Musculoskeletal,XIII (M00-M99)
G43.909,Migraine unspecified not intractable unilateral throbbing headache,Nervous,VI (G00-G99)
G47.00,Insomnia unspecified sleep disturbance difficulty sleeping,Nervous,VI (G00-G99)
G40.909,Epilepsy unspecified not intractable seizure disorder convulsions,Nervous,VI (G00-G99)
G20,Parkinson disease resting tremor muscle rigidity bradykinesia,Nervous,VI (G00-G99)
N18.9,Chronic kidney disease unspecified renal insufficiency CKD,Genitourinary,XIV (N00-N99)
N39.0,Urinary tract infection UTI dysuria burning micturition,Genitourinary,XIV (N00-N99)
N20.0,Calculus of kidney nephrolithiasis kidney stones renal colic,Genitourinary,XIV (N00-N99)
R07.9,Chest pain unspecified thoracic discomfort retrosternal pain,Symptoms/General,XVIII (R00-R99)
R50.9,Fever unspecified pyrexia high temperature chills,Symptoms/General,XVIII (R00-R99)
R05.9,Cough unspecified dry hacking cough productive phlegm,Symptoms/General,XVIII (R00-R99)
R51.9,Headache unspecified facial head pressure cephalalgia,Symptoms/General,XVIII (R00-R99)
R10.9,Abdominal pain unspecified stomach cramps localized tenderness,Symptoms/General,XVIII (R00-R99)
R53.83,Other fatigue lethargy malaise exhaustion chronic tiredness,Symptoms/General,XVIII (R00-R99)
R11.2,Nausea with vomiting emesis upset stomach,Symptoms/General,XVIII (R00-R99)
R42,Dizziness and giddiness lightheadedness vertigo imbalance,Symptoms/General,XVIII (R00-R99)
R00.0,Tachycardia unspecified rapid heart rate racing heartbeat,Symptoms/General,XVIII (R00-R99)
